구별,살인,강간,강도,절도,폭력,살인검거율,강간검거율,강도검거율,절도검거율,폭력검거율,범죄,검거
강남구,76.82051282051283,77.20323439979728,85.45112781954887,42.44109318738592,85.73701075445788,76.92307692307693,77.728285077951,85.71428571428571,42.857142857142854,86.48459383753502,369.7073844099915,367.65297898170274
강동구,74.91666666666667,78.30083342929525,132.71929824561403,33.25315973810617,82.56467377987796,75.0,78.84615384615384,133.33333333333331,33.34742180896027,82.89085545722715,403.4177644456746,401.75463185956005
강북구,113.8095238095238,81.74403399084184,92.54135338345866,42.67209432217767,87.63722159305398,114.28571428571428,82.35294117647058,92.85714285714286,43.09623430962343,88.63722159305398,421.2292542220051,418.40422709905596
강서구,113.8095238095238,72.46324764592953,99.63157894736842,59.1145038167939,84.20767318371792,114.28571428571428,72.90076335877863,100.0,60.1145038167939,84.75210477081384,432.05308623210067,429.2265274033336
관악구,88.66666666666666,68.69458154004491,116.17543859649123,30.56171470805617,80.10915706488781,88.88888888888889,69.0625,116.66666666666667,30.56171470805617,80.10915706488781,385.28892732849954,384.20755857614677
광진구,99.66666666666667,90.88887849301396,184.71428571428572,41.807080571811184,82.70305528722228,100.0,91.66666666666666,185.71428571428572,42.2009253139458,83.04761904761905,502.62949674251723,499.77996673299987
구로구,74.91666666666667,58.189079581051416,73.16140350877193,37.818646710907544,80.78780269373956,75.0,58.362989323843415,73.33333333333333,38.07280513918629,80.87795144662454,325.64707924298756,324.8735991611371
금천구,132.66666666666666,80.21404954990682,99.63157894736842,55.78538895813735,85.72009698042575,133.33333333333331,80.79470198675497,100.0,56.66879387364391,86.46543330087634,457.26226249460854,454.017781102505
노원구,99.66666666666667,61.19195492264202,99.63157894736842,36.32351320320885,84.89493925999413,100.0,61.42131979695431,100.0,36.52530779753762,85.53066470804261,383.4772923025345,381.7086529998801
도봉구,99.66666666666667,102.921568627451,110.6608187134503,44.47962930704508,86.74465766569901,100.0,103.921568627451,111.11111111111111,44.96707431796801,87.62609280430397,447.62584686083414,444.47334098031206
동대문구,99.66666666666667,83.74716390917587,99.63157894736842,40.734092752286124,86.54673941386679,100.0,84.39306358381504,100.0,41.090358404846036,87.40188383045526,412.8853058191163,410.3262416893639
동작구,99.66666666666667,48.771929824561404,55.514619883040936,35.27720920128131,82.73958853491081,100.0,48.771929824561404,55.55555555555556,35.442359249329755,83.0890052356021,322.8588498650488,321.97001411046114
마포구,99.66666666666667,83.37458628661047,71.27067669172932,31.77738463759537,83.93674668467779,100.0,84.01360544217688,71.42857142857143,31.81996086105675,84.44518940663761,371.7073271384427,370.0260609672796
서대문구,99.66666666666667,79.94381853176763,79.77894736842106,40.384456428540524,82.85508547478399,100.0,80.51948051948052,80.0,40.728476821192054,83.21984435797665,384.46780169864917,382.6289744701799
서초구,74.91666666666667,63.09428280842894,66.5438596491228,41.037290086277665,86.59195480075306,75.0,63.358778625954194,66.66666666666666,41.40417457305503,87.45310546060858,333.88272532628446,332.18405401124915
성동구,99.66666666666667,93.61628825681969,88.60233918128655,36.92703716371197,85.78456193412117,100.0,94.44444444444444,88.88888888888889,37.14996888612321,86.53846153846155,407.0217637579181,404.5968932026061
성북구,99.66666666666667,82.05207085828344,79.77894736842106,41.142051511733506,83.52138194287267,100.0,82.66666666666667,80.0,41.51260504201681,83.97464916251698,388.15392087120046,386.1611183479773
송파구,90.66666666666666,80.3263643168209,76.72469635627532,34.71111341087906,84.0313434458449,90.9090909090909,80.9090909090909,76.92307692307693,34.85643717196666,84.55235204855842,368.1500479617838,366.4601841964868
양천구,165.66666666666669,86.79776384730539,50.0,35.3865751987735,80.81497090097044,166.66666666666669,87.5,50.0,35.55555555555556,80.90872857712236,420.6309507993446,418.66597661371594
영등포구,85.52380952380952,61.79342586014412,90.60765550239235,32.91358231471759,82.56810003395057,85.71428571428571,62.03389830508475,90.9090909090909,32.99595141700405,82.89473684210526,354.5479631875707,353.4065732350141
용산구,99.66666666666667,88.44264499351812,99.63157894736842,37.459139041117794,82.76867127601813,100.0,89.17525773195877,100.0,37.70070648683366,83.1219512195122,409.99791543830463,407.9687009246892
은평구,99.66666666666667,84.28394641440012,66.5438596491228,36.924492811256194,86.12177382219764,100.0,84.93975903614458,66.66666666666666,37.14733542319749,86.92046739540143,375.67422852141016,373.5407393636434
종로구,83.16666666666667,75.80410506002214,81.58373205741627,38.06151157656257,83.73162633138956,83.33333333333334,76.30331753554502,81.81818181818183,38.324175824175825,84.21282163105103,363.99183014228703,362.3476416920572
중구,66.66666666666666,64.99452932370554,66.5438596491228,33.6060930547293,87.34779841318087,66.66666666666666,65.29411764705883,66.66666666666666,33.712715855573,88.3093525179856,320.6495193539507,319.1589471074052
중랑구,92.05128205128204,78.59365693746199,81.58373205741627,38.54929210172234,84.02497287077314,92.3076923076923,79.14438502673798,81.81818181818183,38.82903981264637,84.54513523006673,376.6444341953252,374.80293601865577
